,fbest
0,0.7171367424700985
1,1.0950691893605482
2,1.2053094331474428
3,1.3984270743827805
4,1.5464831012876221
5,1.5782634319696078
6,1.5782634319696078
7,1.5782634319696078
8,1.603210706252713
9,1.7447792278473118
10,1.8397478989201708
11,1.8397478989201708
12,1.8397478989201708
13,1.8397478989201708
14,1.8397478989201708
15,1.8397478989201708
16,1.8397478989201708
17,1.8397478989201708
18,1.8397478989201708
19,1.8397478989201708
20,1.979844973702799
21,1.979844973702799
22,1.979844973702799
23,1.979844973702799
24,1.979844973702799
25,1.979844973702799
26,1.979844973702799
27,1.979844973702799
28,1.979844973702799
29,1.979844973702799
30,1.979844973702799
31,1.979844973702799
32,1.979844973702799
33,1.979844973702799
34,1.979844973702799
35,1.979844973702799
36,1.979844973702799
37,2.0210958490242765
38,2.0210958490242765
39,2.0210958490242765
40,2.0210958490242765
41,2.0210958490242765
42,2.0210958490242765
43,2.3974731811166663
44,2.3974731811166663
45,2.3974731811166663
46,2.3974731811166663
47,2.4687454414880823
48,2.4687454414880823
49,2.4687454414880823
50,2.4687454414880823
51,2.4687454414880823
52,2.4687454414880823
53,2.4687454414880823
54,2.4687454414880823
55,2.4687454414880823
56,2.4687454414880823
57,2.4687454414880823
58,2.4687454414880823
59,2.4687454414880823
60,2.508612447184614
61,2.508612447184614
62,2.508612447184614
63,2.508612447184614
64,2.508612447184614
65,2.508612447184614
66,2.508612447184614
67,2.6463366975727136
68,2.6463366975727136
69,2.6463366975727136
70,2.6463366975727136
71,2.6463366975727136
72,2.6463366975727136
73,2.6463366975727136
74,2.6463366975727136
75,2.6463366975727136
76,2.6463366975727136
77,2.6463366975727136
78,2.6463366975727136
79,2.6463366975727136
80,2.6463366975727136
81,2.6463366975727136
82,2.6463366975727136
83,2.756110750525865
84,2.756110750525865
85,2.918023952822641
86,2.918023952822641
87,2.918023952822641
88,2.918023952822641
89,2.918023952822641
90,2.918023952822641
91,2.918023952822641
92,2.918023952822641
93,2.918023952822641
94,2.918023952822641
95,2.918023952822641
96,2.918023952822641
97,2.918023952822641
98,2.918023952822641
99,2.918023952822641
100,2.949266023031068
101,2.9610881612370257
102,2.9610881612370257
103,2.9610881612370257
104,2.9610881612370257
105,2.9610881612370257
106,3.017457773797129
107,3.017457773797129
108,3.017457773797129
109,3.017457773797129
110,3.017457773797129
111,3.017457773797129
112,3.017457773797129
113,3.017457773797129
114,3.017457773797129
115,3.0273897405576893
116,3.0273897405576893
117,3.0273897405576893
118,3.0667128250748514
119,3.0667128250748514
120,3.0667128250748514
121,3.0667128250748514
122,3.0667128250748514
123,3.0667128250748514
124,3.0667128250748514
125,3.0667128250748514
126,3.0667128250748514
127,3.0667128250748514
128,3.0667128250748514
129,3.0667128250748514
130,3.0667128250748514
131,3.0667128250748514
132,3.0667128250748514
133,3.0713217868558553
134,3.0713217868558553
135,3.0713217868558553
136,3.0713217868558553
137,3.0713217868558553
138,3.0713217868558553
139,3.0713217868558553
140,3.0713217868558553
141,3.0713217868558553
142,3.0713217868558553
143,3.0713217868558553
144,3.0713217868558553
145,3.0713217868558553
146,3.0713217868558553
147,3.0713217868558553
148,3.0713217868558553
149,3.0713217868558553
150,3.0713217868558553
151,3.0713217868558553
152,3.0713217868558553
153,3.103977893750602
154,3.103977893750602
155,3.103977893750602
156,3.103977893750602
157,3.103977893750602
158,3.103977893750602
159,3.123887456196878
160,3.123887456196878
161,3.123887456196878
162,3.123887456196878
163,3.123887456196878
164,3.123887456196878
165,3.123887456196878
166,3.123887456196878
167,3.123887456196878
168,3.123887456196878
169,3.123887456196878
170,3.123887456196878
171,3.123887456196878
172,3.123887456196878
173,3.123887456196878
174,3.123887456196878
175,3.123887456196878
176,3.123887456196878
177,3.123887456196878
178,3.123887456196878
179,3.123887456196878
180,3.123887456196878
181,3.123887456196878
182,3.123887456196878
183,3.123887456196878
184,3.123887456196878
185,3.123887456196878
186,3.123887456196878
187,3.123887456196878
188,3.123887456196878
189,3.123887456196878
190,3.123887456196878
191,3.123887456196878
192,3.123887456196878
193,3.123887456196878
194,3.123887456196878
195,3.123887456196878
196,3.123887456196878
197,3.123887456196878
198,3.123887456196878
199,3.123887456196878
200,3.123887456196878
201,3.123887456196878
202,3.123887456196878
203,3.123887456196878
204,3.123887456196878
205,3.123887456196878
206,3.123887456196878
207,3.123887456196878
208,3.123887456196878
209,3.123887456196878
210,3.123887456196878
211,3.123887456196878
212,3.1276310880639073
213,3.1276310880639073
214,3.1276310880639073
215,3.1276310880639073
216,3.1382196338249018
217,3.1447586107239207
218,3.1447586107239207
219,3.1447586107239207
220,3.1447586107239207
221,3.1447586107239207
222,3.1447586107239207
223,3.1447586107239207
224,3.1447586107239207
225,3.1447586107239207
226,3.1447586107239207
227,3.1447586107239207
228,3.1447586107239207
229,3.1447586107239207
230,3.1447586107239207
231,3.1447586107239207
232,3.1447586107239207
233,3.1447586107239207
234,3.1447586107239207
235,3.1447586107239207
236,3.1447586107239207
237,3.1447586107239207
238,3.1447586107239207
239,3.1447586107239207
240,3.1447586107239207
241,3.1447586107239207
242,3.1447586107239207
243,3.1447586107239207
244,3.1447586107239207
245,3.1447586107239207
246,3.1447586107239207
247,3.1447586107239207
248,3.1447586107239207
249,3.1447586107239207
