,fbest
0,0.5391156680364547
1,0.6772968306228325
2,0.7820765383641171
3,0.7820765383641171
4,0.9067731977768135
5,1.2517528284348332
6,1.2517528284348332
7,1.2517528284348332
8,1.2517528284348332
9,1.2892850751981344
10,1.2892850751981344
11,1.2892850751981344
12,1.2892850751981344
13,1.2892850751981344
14,1.2892850751981344
15,1.2892850751981344
16,1.3262711242784577
17,1.3262711242784577
18,1.3262711242784577
19,1.3262711242784577
20,1.3262711242784577
21,1.3262711242784577
22,1.3262711242784577
23,1.331193553002642
24,1.4287741939389147
25,1.4287741939389147
26,1.4287741939389147
27,1.4287741939389147
28,1.4287741939389147
29,1.4287741939389147
30,1.4287741939389147
31,1.4287741939389147
32,1.5861955017341045
33,1.5861955017341045
34,1.749289042119936
35,1.749289042119936
36,1.9759997052827831
37,1.9759997052827831
38,1.9759997052827831
39,1.9759997052827831
40,1.9759997052827831
41,1.9759997052827831
42,2.7674216345126603
43,2.7674216345126603
44,2.7674216345126603
45,2.7674216345126603
46,2.7674216345126603
47,2.7674216345126603
48,2.7674216345126603
49,2.7674216345126603
50,2.7674216345126603
51,2.7674216345126603
52,2.7674216345126603
53,2.7674216345126603
54,2.7674216345126603
55,2.7674216345126603
56,2.7674216345126603
57,2.7674216345126603
58,2.7674216345126603
59,2.7674216345126603
60,2.7674216345126603
61,2.7674216345126603
62,2.7674216345126603
63,2.7674216345126603
64,2.7674216345126603
65,2.7674216345126603
66,2.7674216345126603
67,2.7674216345126603
68,2.7674216345126603
69,3.1468424128095602
70,3.1468424128095602
71,3.1468424128095602
72,3.1468424128095602
73,3.1468424128095602
74,3.1468424128095602
75,3.1468424128095602
76,3.1468424128095602
77,3.1468424128095602
78,3.1468424128095602
79,3.1468424128095602
80,3.1468424128095602
81,3.1468424128095602
82,3.461650898747915
83,3.7627511468085197
84,3.7627511468085197
85,3.7627511468085197
86,3.7627511468085197
87,3.7627511468085197
88,3.7627511468085197
89,3.7627511468085197
90,3.7627511468085197
91,3.7627511468085197
92,3.7627511468085197
93,3.7627511468085197
94,3.7627511468085197
95,3.7627511468085197
96,3.7627511468085197
97,3.7627511468085197
98,3.7627511468085197
99,3.7627511468085197
100,3.7627511468085197
101,3.7627511468085197
102,3.7627511468085197
103,3.7627511468085197
104,3.7627511468085197
105,3.7627511468085197
106,3.7627511468085197
107,3.7627511468085197
108,3.7627511468085197
109,3.7627511468085197
110,3.7627511468085197
111,3.7627511468085197
112,3.7627511468085197
113,3.7627511468085197
114,3.7627511468085197
115,3.7627511468085197
116,3.7627511468085197
117,3.7627511468085197
118,3.7627511468085197
119,3.9064242884105584
120,3.9064242884105584
121,3.9064242884105584
122,3.9064242884105584
123,3.9064242884105584
124,3.9064242884105584
125,3.9885777422068682
126,4.012162701852256
127,4.012162701852256
128,4.012162701852256
129,4.012162701852256
130,4.012162701852256
131,4.012162701852256
132,4.012162701852256
133,4.012162701852256
134,4.146221585618935
135,4.146221585618935
136,4.146221585618935
137,4.146221585618935
138,4.146221585618935
139,4.146221585618935
140,4.146221585618935
141,4.146221585618935
142,4.146221585618935
143,4.146221585618935
144,4.146221585618935
145,4.146221585618935
146,4.146221585618935
147,4.146221585618935
148,4.146221585618935
149,4.146221585618935
150,4.146221585618935
151,4.146221585618935
152,4.146221585618935
153,4.146221585618935
154,4.146221585618935
155,4.146221585618935
156,4.146221585618935
157,4.146221585618935
158,4.146221585618935
159,4.171545255642061
160,4.171545255642061
161,4.171545255642061
162,4.171545255642061
163,4.171545255642061
164,4.171545255642061
165,4.171545255642061
166,4.171545255642061
167,4.171545255642061
168,4.171545255642061
169,4.171545255642061
170,4.171545255642061
171,4.171545255642061
172,4.171545255642061
173,4.171545255642061
174,4.171545255642061
175,4.171545255642061
176,4.171545255642061
177,4.171545255642061
178,4.171545255642061
179,4.171545255642061
180,4.171545255642061
181,4.171545255642061
182,4.171545255642061
183,4.171545255642061
184,4.171545255642061
185,4.171545255642061
186,4.171545255642061
187,4.171545255642061
188,4.171545255642061
189,4.171545255642061
190,4.171545255642061
191,4.179509269417975
192,4.179509269417975
193,4.179509269417975
194,4.179509269417975
195,4.179509269417975
196,4.179509269417975
197,4.179509269417975
198,4.179509269417975
199,4.179509269417975
200,4.180691932134076
201,4.180691932134076
202,4.2336173883489465
203,4.2336173883489465
204,4.2336173883489465
205,4.246961706973033
206,4.246961706973033
207,4.246961706973033
208,4.246961706973033
209,4.246961706973033
210,4.25646823100642
211,4.25646823100642
212,4.25646823100642
213,4.25646823100642
214,4.25646823100642
215,4.25646823100642
216,4.25646823100642
217,4.25646823100642
218,4.25646823100642
219,4.25646823100642
220,4.25646823100642
221,4.25646823100642
222,4.25646823100642
223,4.25646823100642
224,4.25646823100642
225,4.25646823100642
226,4.25646823100642
227,4.25646823100642
228,4.25646823100642
229,4.25646823100642
230,4.25646823100642
231,4.25646823100642
232,4.25646823100642
233,4.25646823100642
234,4.25646823100642
235,4.25646823100642
236,4.25646823100642
237,4.25646823100642
238,4.25646823100642
239,4.25646823100642
240,4.25646823100642
241,4.258426282393913
242,4.258426282393913
243,4.261329906721657
244,4.261329906721657
245,4.261329906721657
246,4.261329906721657
247,4.261329906721657
248,4.261329906721657
249,4.261329906721657
