,fbest
0,0.6679688678351644
1,0.6679688678351644
2,0.7574547514343261
3,0.7574547514343261
4,0.7574547514343261
5,0.7574547514343261
6,0.7574547514343261
7,1.0351649473257563
8,1.0351649473257563
9,1.0351649473257563
10,1.0351649473257563
11,1.0351649473257563
12,1.0351649473257563
13,1.0351649473257563
14,1.0351649473257563
15,1.0351649473257563
16,1.0351649473257563
17,1.0351649473257563
18,1.0351649473257563
19,1.0351649473257563
20,1.0351649473257563
21,1.0351649473257563
22,1.0351649473257563
23,1.0351649473257563
24,1.0351649473257563
25,1.0351649473257563
26,1.0351649473257563
27,1.0351649473257563
28,1.0351649473257563
29,1.0351649473257563
30,1.0351649473257563
31,1.0351649473257563
32,1.0351649473257563
33,1.0351649473257563
34,1.0351649473257563
35,1.0351649473257563
36,1.0351649473257563
37,1.0351649473257563
38,1.0351649473257563
39,1.0351649473257563
40,1.0351649473257563
41,1.0984254754840956
42,1.0984254754840956
43,1.0984254754840956
44,1.0984254754840956
45,1.0984254754840956
46,1.0984254754840956
47,1.0984254754840956
48,1.0984254754840956
49,1.0984254754840956
50,1.0984254754840956
51,1.0984254754840956
52,1.0984254754840956
53,1.0984254754840956
54,1.0984254754840956
55,1.0984254754840956
56,1.0984254754840956
57,1.0984254754840956
58,1.0984254754840956
59,1.0984254754840956
60,1.0984254754840956
61,1.0984254754840956
62,1.0984254754840956
63,1.0984254754840956
64,1.0984254754840956
65,1.0984254754840956
66,1.1356112755519494
67,1.1356112755519494
68,1.1356112755519494
69,1.1356112755519494
70,1.1356112755519494
71,1.1356112755519494
72,1.1356112755519494
73,1.1356112755519494
74,1.1356112755519494
75,1.1356112755519494
76,1.1356112755519494
77,1.1356112755519494
78,1.1356112755519494
79,1.1356112755519494
80,1.1356112755519494
81,1.1356112755519494
82,1.1356112755519494
83,1.1356112755519494
84,1.1356112755519494
85,1.1356112755519494
86,1.1356112755519494
87,1.1356112755519494
88,1.1356112755519494
89,1.1356112755519494
90,1.1356112755519494
91,1.1356112755519494
92,1.1356112755519494
93,1.1356112755519494
94,1.1356112755519494
95,1.1356112755519494
96,1.1356112755519494
97,1.1356112755519494
98,1.1356112755519494
99,1.1356112755519494
100,1.1356112755519494
101,1.1356112755519494
102,1.1356112755519494
103,1.1356112755519494
104,1.1356112755519494
105,1.1356112755519494
106,1.1356112755519494
107,1.1356112755519494
108,1.1356112755519494
109,1.1356112755519494
110,1.1356112755519494
111,1.1356112755519494
112,1.2180806081898117
113,1.2180806081898117
114,1.2180806081898117
115,1.2180806081898117
116,1.2180806081898117
117,1.2180806081898117
118,1.2180806081898117
119,1.2180806081898117
120,1.2180806081898117
121,1.2180806081898117
122,1.2180806081898117
123,1.2180806081898117
124,1.2180806081898117
125,1.2180806081898117
126,1.2180806081898117
127,1.2180806081898117
128,1.2180806081898117
129,1.2180806081898117
130,1.2180806081898117
131,1.2180806081898117
132,1.2180806081898117
133,1.2180806081898117
134,1.2180806081898117
135,1.2180806081898117
136,1.2180806081898117
137,1.2180806081898117
138,1.2180806081898117
139,1.2180806081898117
140,1.2180806081898117
141,1.2180806081898117
142,1.2180806081898117
143,1.2180806081898117
144,1.2180806081898117
145,1.2180806081898117
146,1.2180806081898117
147,1.2180806081898117
148,1.2180806081898117
149,1.2180806081898117
150,1.2180806081898117
151,1.2180806081898117
152,1.2180806081898117
153,1.2180806081898117
154,1.2180806081898117
155,1.2180806081898117
156,1.2180806081898117
157,1.2180806081898117
158,1.2180806081898117
159,1.2180806081898117
160,1.2180806081898117
161,1.2180806081898117
162,1.2180806081898117
163,1.2180806081898117
164,1.2180806081898117
165,1.2180806081898117
166,1.2180806081898117
167,1.2180806081898117
168,1.2180806081898117
169,1.2180806081898117
170,1.2180806081898117
171,1.2180806081898117
172,1.2180806081898117
173,1.2180806081898117
174,1.2180806081898117
175,1.2180806081898117
176,1.2180806081898117
177,1.218372400516519
178,1.218372400516519
179,1.218372400516519
180,1.218372400516519
181,1.218372400516519
182,1.218372400516519
183,1.218372400516519
184,1.218372400516519
185,1.218372400516519
186,1.218372400516519
187,1.218372400516519
188,1.218372400516519
189,1.218372400516519
190,1.218372400516519
191,1.218372400516519
192,1.218372400516519
193,1.218372400516519
194,1.218372400516519
195,1.218372400516519
196,1.218372400516519
197,1.218372400516519
198,1.218372400516519
199,1.218372400516519
200,1.218372400516519
201,1.218372400516519
202,1.218372400516519
203,1.218372400516519
204,1.218372400516519
205,1.218372400516519
206,1.218372400516519
207,1.218372400516519
208,1.2520819327772466
209,1.2520819327772466
210,1.2520819327772466
211,1.2520819327772466
212,1.2520819327772466
213,1.2520819327772466
214,1.2520819327772466
215,1.2520819327772466
216,1.2520819327772466
217,1.2520819327772466
218,1.2520819327772466
219,1.2520819327772466
220,1.2520819327772466
221,1.2520819327772466
222,1.2520819327772466
223,1.2520819327772466
224,1.2520819327772466
225,1.2520819327772466
226,1.2520819327772466
227,1.2520819327772466
228,1.2520819327772466
229,1.2520819327772466
230,1.2520819327772466
231,1.2520819327772466
232,1.2520819327772466
233,1.2520819327772466
234,1.2600350069842714
235,1.2756797465289755
236,1.2756797465289755
237,1.2756797465289755
238,1.3038522461133528
239,1.3038522461133528
240,1.3038522461133528
241,1.3038522461133528
242,1.3038522461133528
243,1.3038522461133528
244,1.3038522461133528
245,1.3038522461133528
246,1.3241585201792738
247,1.3241585201792738
248,1.3241585201792738
249,1.3241585201792738
