,fbest
0,0.5651847629172383
1,1.0081029929517207
2,1.0081029929517207
3,1.0081029929517207
4,1.1511470290894505
5,1.6584923354634695
6,1.8992523109669817
7,1.8992523109669817
8,1.8992523109669817
9,1.8992523109669817
