mean_eval,pop_best_eval,median_eval,best_eval,worst_eval,no_envs
0.12866081297397614,0.3239700496196747,0.1362641453742981,0.3239700496196747,0.04498535394668579,1
0.23359385132789612,0.4283464848995209,0.155063197016716,0.4283464848995209,0.04498535394668579,1
0.3762107789516449,0.49087873101234436,0.37137457728385925,0.49087873101234436,0.04498535394668579,1
0.5481202006340027,0.8823610544204712,0.5068285465240479,0.8823610544204712,0.04498535394668579,1
0.5461729764938354,0.963559091091156,0.5183020830154419,0.963559091091156,0.04498535394668579,1
0.5018174648284912,0.8894202709197998,0.5720595121383667,0.963559091091156,0.04498535394668579,1
0.5426210165023804,0.9403913617134094,0.46343499422073364,0.963559091091156,0.04498535394668579,1
0.6476050019264221,1.111754298210144,0.6307975053787231,1.111754298210144,0.04498535394668579,1
0.725009024143219,1.4727482795715332,0.603598415851593,1.4727482795715332,0.04498535394668579,1
0.8747075796127319,1.4682438373565674,0.7439581155776978,1.4727482795715332,0.04498535394668579,1
